"image","xmin","ymin","xmax","ymax","label"
"42.6342817_2.8647664.png",210.72425809352518,200.74820143884892,285.621121852518,272.57553956834533,"pool"
"42.6347619_2.8669355.png",222.3884892086331,190.31176933453239,313.24702113309354,279.9424460431655,"pool"
"42.6339681_2.8641433.png",177.57317895683454,151.63551034172662,347.01202787769785,298.3597122302158,"pool"
"42.6342371_2.8637476.png",210.72425809352518,206.27338129496405,274.5707621402878,266.43646020683457,"pool"
"42.634614_2.8724463.png",208.2686038669065,205.04558228417267,285.0071942446043,269.5060139388489,"pool"
"42.6351969_2.8667526.png",191.0791366906475,185.40048898381295,307.10791366906477,293.4484599820144,"pool"
"42.6350102_2.8647506.png",209.49640287769785,213.64028776978418,287.462848471223,262.13910746402877,"pool"
"42.6351374_2.8650873.png",202.12949640287772,206.27338129496405,281.32374100719426,281.7841726618705,"pool"
"42.6349433_2.8699028.png",219.3189635791367,197.67867580935254,300.35493480215825,274.41726618705036,"pool"
"42.6349664_2.8706975.png",218.09116456834533,195.8369491906475,299.1271357913669,275.03119379496405,"pool"
"42.6358913_2.8727748.png",208.11510791366908,209.9568345323741,292.8345323741007,278.1007194244604,"pool"
"42.6353365_2.8705038.png",208.11510791366908,203.51079136690652,299.74100719424473,273.1894671762591,"pool"
"42.6352842_2.8648756.png",216.2494379496403,206.88730890287772,305.88011465827344,280.5563736510792,"pool"
"42.6353039_2.8672572.png",205.81294964028777,195.8369491906475,306.4940422661871,283.01199977517985,"pool"
"42.6353406_2.8654179.png",226.68587005395685,209.0359712230216,290.53237410071944,279.3285465377698,"pool"
"42.6363236_2.8647969.png",213.7937837230216,209.9568345323741,299.1271357913669,270.1199134442446,"pool"
"42.6364736_2.866849.png",216.2494379496403,214.86811488309354,284.3933228417267,259.0695537320144,"pool"
"42.6362729_2.865704.png",198.44604316546767,198.9064748201439,299.1271357913669,278.71464703237416,"pool"
"42.6361194_2.8725454.png",226.07194244604318,195.8369491906475,285.0071942446043,279.3285465377698,"pool"
"42.6362062_2.8719883.png",217.32374100719426,222.84892086330936,281.7841726618705,268.2781868255396,"pool"
"42.636763_2.8686717.png",219.3189635791367,172.50840265287772,324.91130845323744,273.8033666816547,"pool"
